audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1987_u2__with_or_without_you__single,U2,With or Without You,1987,mid,hi,lo,mid,mid,109.95678191489361,294.24326530612245,-17.904330386654777,0.3604144418724209,0.5808082622795091,0.5641657767489683,Slow-building rock ballad; hypnotic groove; yearning tone.,lo,hi,all_disagree,all_disagree
1997_celine_dion__my_heart_will_go_on__album,Celine Dion,My Heart Will Go On,1997,mid,hi,lo,hi,mid,99.38401442307692,278.63945578231295,-17.36657554508018,0.38184501281319233,0.43682929230751755,0.572738005125277,Titanic power ballad; very slow big emotional build.,hi,mid,ml_feat_agree_truth_diff,all_disagree
2007_rihanna_jay_z__umbrella__album,Rihanna feat. JAY-Z,Umbrella,2007,mid,hi,mid,hi,mid,86.1328125,274.92426303854876,-17.46449056651443,0.39115491684572223,0.30460966295693015,0.5764619667382889,Dark mid-tempo R&B-pop; big chorus hook.,hi,lo,ml_feat_agree_truth_diff,all_disagree
2013_lorde__royals__single,Lorde,Royals,2013,lo,hi,lo,hi,lo,84.72079918032787,189.47482993197278,-17.39191146600904,0.3524155946760993,0.37617765842112416,0.5609662378704396,Minimalist alt-pop; very sparse low-band energy.,lo,mid,truth_feat_agree_ml_diff,all_disagree
2014_pharrell_williams__happy__single,Pharrell Williams,Happy,2014,hi,lo,hi,mid,hi,161.4990234375,231.0849886621315,-17.631230000881764,0.37428353840031897,0.2425703566411339,0.5697134153601275,Uptempo feel-good soul-pop; very high valence.,hi,lo,truth_feat_agree_ml_diff,all_disagree
2019_billie_eilish__bad_guy__album,Billie Eilish,bad guy,2019,mid,hi,mid,hi,mid,135.99917763157896,191.7039455782313,-17.17189876668876,0.343037401491191,0.3385543855796369,0.5572149605964763,Minimal off-kilter pop; quirky cool rather than bright.,lo,lo,all_disagree,all_disagree
2019_lewis_capaldi__someone_you_loved__album,Lewis Capaldi,Someone You Loved,2019,mid,hi,lo,hi,lo,109.95678191489361,181.3014058956916,-17.603621998521866,0.3464789045337782,0.4797144076538891,0.5585915618135113,Piano ballad; emotionally raw vocal; minimal groove; non-dance.,lo,mid,all_disagree,all_disagree
2022_harry_styles__as_it_was__album,Harry Styles,As It Was,2022,mid,lo,mid,hi,mid,172.265625,164.95455782312925,-17.53683110372159,0.3537193204350324,0.23551522530944613,0.5614877281740129,Feels like ~87 BPM double-time; bittersweet pop.,lo,lo,ml_feat_agree_truth_diff,all_disagree
2022_steve_lacy__bad_habit__album,Steve Lacy,Bad Habit,2022,mid,hi,mid,hi,mid,84.72079918032787,231.82802721088436,-17.534561734996995,0.374507897911564,0.3459291174191298,0.5698031591646255,Laid-back alt R&B; loping mid energy; strong head-nod groove.,hi,lo,ml_feat_agree_truth_diff,all_disagree
2023_teddy_swims__lose_control__album,Teddy Swims,Lose Control,2023,hi,lo,mid,hi,mid,161.4990234375,208.05079365079365,-17.59147953965627,0.3582620252732589,0.20318733133225114,0.5633048101093036,Soulful belter; strong vocal intensity; mid-tempo band groove.,lo,lo,ml_feat_agree_truth_diff,all_disagree
2024_taylor_swift_post_malone__fortnight__album,Taylor Swift feat. Post Malone,Fortnight,2024,mid,mid,mid,lo,lo,95.703125,226.62675736961452,-18.559235254802157,0.359849748696272,0.5273886828016101,0.5639398994785088,Moody synth-pop; mid energy; low-valence bittersweet tone; subtle groove.,lo,hi,truth_ml_agree_feat_diff,all_disagree
