audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1967_louis_armstrong__what_a_wonderful_world__album,Louis Armstrong,What a Wonderful World,1967,lo,lo,lo,lo,hi,109.95678191489361,136.71909297052153,-20.21170523109978,0.3721032486635362,0.4821702272135873,0.5688412994654145,"Slow jazz-pop standard; gentle low energy and non-dance but very warm, hopeful high-valence tone.",mid,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
1982_michael_jackson__billie_jean__album,Michael Jackson,Billie Jean,1982,hi,hi,mid,mid,mid,117.45383522727273,289.78503401360547,-17.950759492267608,0.39182414710654023,0.5638598276507116,0.5767296588426161,Groove-based pop; archetypal mid-tempo hit.,hi,hi,all_agree,truth_ml_agree_feat_diff
1983_cyndi_lauper__girls_just_want_to_have_fun__album,Cyndi Lauper,Girls Just Want to Have Fun,1983,hi,hi,hi,hi,hi,120.18531976744185,232.57106575963718,-17.753394561837766,0.36554446732156687,0.5045658476513375,0.5662177869286267,Iconic 80s pop; very high-energy high-valence dance track.,mid,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
1985_a_ha__take_on_me__single,a-ha,Take On Me,1985,hi,hi,hi,hi,mid,84.72079918032787,222.91156462585033,-17.80453820030658,0.3802475839026113,0.40490170726089236,0.5720990335610445,Fast 80s synth-pop; perceived ~84.5 in half-time.,hi,mid,all_agree,truth_ml_agree_feat_diff
1985_tears_for_fears__everybody_wants_to_rule_the_world__single,Tears for Fears,Everybody Wants to Rule the World,1985,mid,hi,mid,mid,mid,112.34714673913044,251.89006802721087,-18.213822154573872,0.3635402003603822,0.5750190456424701,0.5654160801441529,Laid-back 80s pop-rock; mid energy mid danceability reflective tone.,mid,hi,truth_feat_agree_ml_diff,truth_ml_agree_feat_diff
1989_madonna__like_a_prayer__album,Madonna,Like a Prayer,1989,hi,hi,mid,mid,mid,109.95678191489361,340.31165532879817,-18.224834117793616,0.36934294536519935,0.5623229268072111,0.5677371781460797,Gospel-infused pop; emotional but uplifting; album version used in benchmark.,mid,hi,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
1993_radiohead__creep__album,Radiohead,Creep,1993,mid,lo,lo,lo,lo,184.5703125,234.8001814058957,-18.847962969935406,0.3840621497432854,0.3973822160798639,0.5736248598973142,Alt-rock ballad; quiet loud dynamic; emotionally dark and self-loathing.,hi,mid,all_disagree,truth_ml_agree_feat_diff
1994_mariah_carey__hero__album,Mariah Carey,Hero,1994,mid,lo,lo,lo,mid,120.18531976744185,256.3482993197279,-18.84003395235733,0.3876919541041993,0.4466468821767431,0.5750767816416797,Big vocal power ballad; slow tempo; inspirational but solemn tone.,hi,mid,all_disagree,truth_ml_agree_feat_diff
1999_tlc__no_scrubs__album,TLC,No Scrubs,1999,mid,lo,mid,mid,mid,184.5703125,214.73814058956916,-17.80913502743024,0.3985904599405346,0.5328528069433693,0.5794361839762139,R&B-pop crossover; groove-led.,hi,hi,all_disagree,truth_ml_agree_feat_diff
2000_coldplay__yellow__album,Coldplay,Yellow,2000,mid,hi,lo,lo,mid,86.1328125,266.7508390022676,-17.83091294011175,0.36334019909136983,0.41618520868171355,0.5653360796365479,Alt-pop ballad; steady build emotional.,mid,mid,truth_feat_agree_ml_diff,truth_ml_agree_feat_diff
2003_beyonce_jay_z__crazy_in_love__album,Beyoncé feat. JAY-Z,Crazy in Love,2003,hi,hi,hi,hi,hi,99.38401442307692,234.05714285714285,-17.494235137037965,0.3766707693812153,0.5078623072855752,0.5706683077524861,Horn-driven R&B-pop; very high energy and danceability.,hi,mid,all_agree,truth_ml_agree_feat_diff
2003_evanescence__bring_me_to_life__album,Evanescence,Bring Me to Life,2003,hi,mid,lo,lo,lo,95.703125,236.28625850340137,-18.31266081048828,0.35556738890578404,0.39629149797689,0.5622269555623136,"Rock/nu-metal crossover; big dynamic hits and high energy with a clear groove but dark, dramatic low-valence mood.",lo,mid,all_disagree,truth_ml_agree_feat_diff
2003_outkast__hey_ya__album,Outkast,Hey Ya!,2003,hi,hi,hi,hi,hi,79.50721153846153,233.31410430839003,-17.40575339277365,0.360228977574112,0.3281874013381884,0.5640915910296448,Quirky funk-pop; very fast but feels infectious and fun.,lo,lo,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2012_carly_rae_jepsen__call_me_maybe__single,Carly Rae Jepsen,Call Me Maybe,2012,hi,hi,hi,hi,hi,120.18531976744185,193.19002267573697,-17.996718964497724,0.38141126120998814,0.5060025242815716,0.5725645044839953,Modern bubblegum pop classic; bouncy and bright obvious hi-energy/hi-dance.,hi,mid,all_agree,truth_ml_agree_feat_diff
2013_daft_punk_pharrell_williams__get_lucky__single,Daft Punk feat. Pharrell Williams,Get Lucky,2013,hi,hi,hi,hi,hi,114.84375,245.94575963718822,-17.28213661544945,0.1468917578458786,0.28563696138315325,0.2070920480833729,Sleek disco-funk; smooth but absolutely a dancefloor record strong steady groove.,lo,lo,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2016_drake__one_dance__album,Drake,One Dance,2016,mid,lo,hi,hi,mid,139.6748310810811,173.87102040816328,-17.277473198375514,0.4018872087629089,0.2867579061805347,0.5807548835051636,Afro-dancehall-inflected pop; mid energy very danceable moody but not dark.,hi,lo,all_disagree,truth_ml_agree_feat_diff
