audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1979_bee_gees__stayin_alive__album,Bee Gees,Stayin' Alive,1979,hi,hi,hi,mid,mid,103.359375,282.3546485260771,-18.079004115344947,0.3864549965932998,0.6220117051000638,0.57458199863732,Signature 70s disco groove; relentless pulse very strong dance feel.,hi,hi,all_agree,truth_feat_agree_ml_diff
1982_michael_jackson__billie_jean__album,Michael Jackson,Billie Jean,1982,hi,hi,mid,mid,mid,117.45383522727273,289.78503401360547,-17.950759492267608,0.39182414710654023,0.5638598276507116,0.5767296588426161,Groove-based pop; archetypal mid-tempo hit.,hi,hi,all_agree,truth_ml_agree_feat_diff
1985_a_ha__take_on_me__single,a-ha,Take On Me,1985,hi,hi,hi,hi,mid,84.72079918032787,222.91156462585033,-17.80453820030658,0.3802475839026113,0.40490170726089236,0.5720990335610445,Fast 80s synth-pop; perceived ~84.5 in half-time.,hi,mid,all_agree,truth_ml_agree_feat_diff
1987_whitney_houston__i_wanna_dance_with_somebody_who_loves_me__album,Whitney Houston,I Wanna Dance With Somebody (Who Loves Me),1987,hi,hi,hi,mid,hi,117.45383522727273,289.0419954648526,-17.97154736289177,0.3826831897401328,0.5023060230134722,0.5730732758960531,High-energy high-valence dance-pop.,hi,mid,all_agree,ml_feat_agree_truth_diff
1991_bonnie_raitt__i_cant_make_you_love_me__album,Bonnie Raitt,I Can't Make You Love Me,1991,lo,lo,lo,lo,lo,126.04801829268293,332.138231292517,-20.792461272797322,0.3537109393734463,0.35993939283175547,0.5614843757493785,"Piano-led adult-contemporary ballad; extremely intimate, low-energy, non-dance and emotionally devastating.",lo,lo,all_agree,all_agree
2003_beyonce_jay_z__crazy_in_love__album,Beyoncé feat. JAY-Z,Crazy in Love,2003,hi,hi,hi,hi,hi,99.38401442307692,234.05714285714285,-17.494235137037965,0.3766707693812153,0.5078623072855752,0.5706683077524861,Horn-driven R&B-pop; very high energy and danceability.,hi,mid,all_agree,truth_ml_agree_feat_diff
2009_black_eyed_peas__i_gotta_feeling__album,Black Eyed Peas,I Gotta Feeling,2009,hi,hi,hi,mid,hi,129.19921875,289.78503401360547,-17.59350624424872,0.37837269481364605,0.5382936528374916,0.5713490779254584,Huge party anthem; very high energy and danceability; feel-good chorus.,hi,hi,all_agree,truth_feat_agree_ml_diff
2010_katy_perry__firework__album,Katy Perry,Firework,2010,hi,hi,hi,hi,hi,123.046875,228.1128344671202,-17.554659358274467,0.37796313138672,0.588365811047125,0.571185252554688,"Anthemic pop; big builds and explosive chorus, clearly hi-energy/hi-dance/hi-valence empowerment record.",hi,hi,all_agree,all_agree
2012_bruno_mars__when_i_was_your_man__album,Bruno Mars,When I Was Your Man,2012,mid,mid,lo,hi,lo,72.78829225352112,212.50902494331066,-17.65884470154171,0.3650572947904862,0.27961774053168587,0.5660229179161944,Piano ballad; sparse arrangement; emotionally regretful; non-dance.,mid,lo,all_agree,truth_feat_agree_ml_diff
2012_carly_rae_jepsen__call_me_maybe__single,Carly Rae Jepsen,Call Me Maybe,2012,hi,hi,hi,hi,hi,120.18531976744185,193.19002267573697,-17.996718964497724,0.38141126120998814,0.5060025242815716,0.5725645044839953,Modern bubblegum pop classic; bouncy and bright obvious hi-energy/hi-dance.,hi,mid,all_agree,truth_ml_agree_feat_diff
2014_mark_ronson_bruno_mars__uptown_funk__album,Mark Ronson feat. Bruno Mars,Uptown Funk,2014,hi,hi,hi,hi,mid,114.84375,268.9799546485261,-17.484881276971088,0.39127463829728637,0.5455703232165255,0.5765098553189145,Retro-funk pastiche; long but massive groove.,hi,hi,all_agree,all_agree
2016_the_chainsmokers_ft_halsey__closer__single,The Chainsmokers feat. Halsey,Closer,2016,mid,mid,mid,lo,mid,95.703125,244.45968253968255,-18.440503095090413,0.3726911683115069,0.3728568446020891,0.5690764673246027,EDM-pop with mellow energy; streaming-era staple.,mid,mid,all_agree,truth_feat_agree_ml_diff
2017_daniel_caesar_h_e_r__best_part__album,Daniel Caesar feat. H.E.R.,Best Part,2017,lo,lo,lo,hi,mid,143.5546875,209.53687074829932,-17.397813740434227,0.35408642255581574,0.21150807670692146,0.5616345690223263,Modern neo-soul slow jam; intimate super low energy and dance but warm/mid valence rather than tragic.,lo,lo,all_agree,truth_feat_agree_ml_diff
2018_marshmello_bastille__happier__single,Marshmello & Bastille,Happier,2018,mid,mid,mid,lo,lo,99.38401442307692,213.99510204081633,-18.06084242062632,0.3682704773125116,0.46272922642106684,0.5673081909250046,Sad-pop mid-tempo; bounce in the drums but emotional tone is clearly down strong “mid” energy with low-ish valence.,mid,mid,all_agree,truth_feat_agree_ml_diff
2019_dua_lipa__dont_start_now__album,Dua Lipa,Don't Start Now,2019,hi,hi,hi,hi,mid,123.046875,182.04444444444445,-17.622510228102104,0.3865560508194528,0.4480596841021015,0.5746224203277811,Nu-disco pop; high-energy and very danceable.,hi,mid,all_agree,truth_ml_agree_feat_diff
2021_doja_cat__kiss_me_more__album,Doja Cat feat. SZA,Kiss Me More,2021,hi,hi,hi,hi,hi,109.95678191489361,208.05079365079365,-17.362633028449565,0.3857425354639401,0.6222293575372466,0.5742970141855761,Playful disco-pop; high energy very danceable bright flirtatious tone.,hi,hi,all_agree,all_agree
2021_farruko__pepas__album,Farruko,Pepas,2021,hi,hi,hi,mid,hi,129.19921875,286.0698412698413,-17.660289590285405,0.38138525441485127,0.4338848767288469,0.5725541017659406,"EDM/reggaeton party anthem; archetypal festival hi-energy, hi-dance, euphoric feel.",hi,mid,all_agree,ml_feat_agree_truth_diff
