audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1972_bill_withers__lean_on_me__album,Bill Withers,Lean on Me,1972,mid,lo,lo,lo,hi,147.65625,257.0913378684807,-18.289713608125616,0.3629417709481324,0.15580586962441823,0.5651767083792529,"Soul/gospel ballad; slow supportive groove, emotionally uplifting with big singalong chorus but not a dance record.",mid,lo,truth_feat_agree_ml_diff,all_agree
1976_the_eagles__hotel_california__album,Eagles,Hotel California,1976,mid,hi,lo,mid,mid,147.65625,391.5813151927438,-17.726708062511182,0.3692794499001425,0.3417721085501688,0.567711779960057,Classic rock epic; long-running structure; bittersweet mood.,mid,lo,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
1984_prince__when_doves_cry__album,Prince,When Doves Cry,1984,hi,lo,mid,lo,mid,126.04801829268293,351.4572335600907,-20.216903269268144,0.3856945838458942,0.4457593938427012,0.5742778335383577,Sparse experimental but huge mainstream hit.,hi,mid,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
1985_tears_for_fears__everybody_wants_to_rule_the_world__single,Tears for Fears,Everybody Wants to Rule the World,1985,mid,hi,mid,mid,mid,112.34714673913044,251.89006802721087,-18.213822154573872,0.3635402003603822,0.5750190456424701,0.5654160801441529,Laid-back 80s pop-rock; mid energy mid danceability reflective tone.,mid,hi,truth_feat_agree_ml_diff,truth_ml_agree_feat_diff
1990_roxette__it_must_have_been_love__album,Roxette,It Must Have Been Love,1990,mid,lo,lo,lo,lo,161.4990234375,258.5774149659864,-18.0288418170762,0.3700112232028761,0.193816598652853,0.5680044892811504,Power ballad; slow tempo; emotionally heavy; not dance-focused.,mid,lo,truth_feat_agree_ml_diff,all_agree
2000_coldplay__yellow__album,Coldplay,Yellow,2000,mid,hi,lo,lo,mid,86.1328125,266.7508390022676,-17.83091294011175,0.36334019909136983,0.41618520868171355,0.5653360796365479,Alt-pop ballad; steady build emotional.,mid,mid,truth_feat_agree_ml_diff,truth_ml_agree_feat_diff
2010_adele__rolling_in_the_deep__album,Adele,Rolling in the Deep,2010,mid,hi,mid,hi,mid,105.46875,226.62675736961452,-17.408527726323133,0.3637066208813387,0.632775429691999,0.5654826483525355,Bluesy pop; strong vocal stomping groove.,mid,hi,truth_feat_agree_ml_diff,ml_feat_agree_truth_diff
2011_adele__someone_like_you__album,Adele,Someone Like You,2011,lo,hi,lo,hi,lo,135.99917763157896,285.3268027210884,-17.3139927881886,0.3412495325560102,0.34248461096122995,0.556499813022404,Piano/vocal breakup ballad; archetypal low energy very low danceability emotionally devastating.,lo,lo,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
2011_gotye__somebody_that_i_used_to_know__album,Gotye feat. Kimbra,Somebody That I Used to Know,2011,mid,hi,mid,hi,lo,129.19921875,245.20272108843537,-17.496221469970916,0.3726296344748237,0.5252002169550211,0.5690518537899295,Sparse indie-pop ballad; mid energy but emotionally downbeat and melancholic.,mid,hi,truth_feat_agree_ml_diff,ml_feat_agree_truth_diff
2013_lorde__royals__single,Lorde,Royals,2013,lo,hi,lo,hi,lo,84.72079918032787,189.47482993197278,-17.39191146600904,0.3524155946760993,0.37617765842112416,0.5609662378704396,Minimalist alt-pop; very sparse low-band energy.,lo,mid,truth_feat_agree_ml_diff,all_disagree
2014_ariana_grande__one_last_time__album,Ariana Grande,One Last Time,2014,mid,hi,mid,hi,mid,126.04801829268293,196.1621768707483,-17.56748176578191,0.36221482696376744,0.4267804279310059,0.564885930785507,Mid-tempo EDM-pop ballad; big chorus but not a club banger sits comfortably in the middle.,mid,mid,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
2014_pharrell_williams__happy__single,Pharrell Williams,Happy,2014,hi,lo,hi,mid,hi,161.4990234375,231.0849886621315,-17.631230000881764,0.37428353840031897,0.2425703566411339,0.5697134153601275,Uptempo feel-good soul-pop; very high valence.,hi,lo,truth_feat_agree_ml_diff,all_disagree
2017_ed_sheeran__shape_of_you__album,Ed Sheeran,Shape of You,2017,mid,hi,hi,hi,mid,129.19921875,231.0849886621315,-17.382715406812043,0.361187684150181,0.33507028141151934,0.5644750736600723,Caribbean-inflected pop; heavy on groove with mid valence.,mid,lo,truth_feat_agree_ml_diff,truth_ml_agree_feat_diff
2018_post_malone__better_now__album,Post Malone,Better Now,2018,mid,hi,mid,hi,mid,97.50884433962264,231.0849886621315,-17.711648288057937,0.36635836339964944,0.42063845552032175,0.5665433453598597,Mid-tempo emo-rap pop; steady groove; bittersweet reflective tone.,mid,mid,truth_feat_agree_ml_diff,truth_feat_agree_ml_diff
2021_olivia_rodrigo__drivers_license__album,Olivia Rodrigo,drivers license,2021,mid,lo,lo,lo,lo,143.5546875,240.74448979591835,-18.14095548852428,0.3703343529613089,0.303031448713738,0.5681337411845235,Slow emotional ballad; breakup narrative.,mid,lo,truth_feat_agree_ml_diff,all_agree
2022_glass_animals__heat_waves__album,Glass Animals,Heat Waves,2022,mid,lo,mid,lo,mid,161.4990234375,237.0292970521542,-18.345973576177794,0.3608326683978451,0.17687077826640532,0.564333067359138,Alt-pop slow-burn; hazy mid valence.,mid,lo,truth_feat_agree_ml_diff,ml_feat_agree_truth_diff
