audio_name,artist,title,year,energy_truth,energy_ml,dance_truth,dance_ml,valence_truth,tempo_bpm,duration_sec,loudness_LUFS,energy_feature,danceability_feature,valence_feature,notes,energy_feature_band,danceability_feature_band,triage_tag_energy,triage_tag_dance
1967_louis_armstrong__what_a_wonderful_world__album,Louis Armstrong,What a Wonderful World,1967,lo,lo,lo,lo,hi,109.95678191489361,136.71909297052153,-20.21170523109978,0.3721032486635362,0.4821702272135873,0.5688412994654145,"Slow jazz-pop standard; gentle low energy and non-dance but very warm, hopeful high-valence tone.",mid,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
1971_bill_withers__aint_no_sunshine__single,Bill Withers,Ain't No Sunshine,1971,lo,lo,lo,lo,lo,156.60511363636363,123.34439909297052,-18.6900598019829,0.36094876498623024,0.3369090903627059,0.564379505994492,Minimal soul ballad; sparse arrangement clearly low energy and non-dance emotionally heavy.,mid,lo,truth_ml_agree_feat_diff,all_agree
1976_abba__dancing_queen__album,ABBA,Dancing Queen,1976,hi,hi,hi,hi,hi,101.33272058823529,230.3419501133787,-17.595380936224938,0.3704375416214667,0.6229994235676344,0.5681750166485866,Archetypal disco-pop; joyful very danceable clearly high energy/high valence.,mid,hi,truth_ml_agree_feat_diff,all_agree
1983_cyndi_lauper__girls_just_want_to_have_fun__album,Cyndi Lauper,Girls Just Want to Have Fun,1983,hi,hi,hi,hi,hi,120.18531976744185,232.57106575963718,-17.753394561837766,0.36554446732156687,0.5045658476513375,0.5662177869286267,Iconic 80s pop; very high-energy high-valence dance track.,mid,mid,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
1986_bon_jovi__livin_on_a_prayer__single,Bon Jovi,Livin' on a Prayer,1986,hi,hi,mid,mid,mid,123.046875,245.94575963718822,-17.967260761761953,0.3640678961494021,0.5053960423485492,0.5656271584597609,Arena rock anthem; big chorus lift.,mid,mid,truth_ml_agree_feat_diff,all_agree
1987_guns_n_roses__sweet_child_o_mine__album,Guns N' Roses,Sweet Child o' Mine,1987,hi,hi,mid,mid,mid,126.04801829268293,353.68634920634923,-17.836083344449637,0.3718299875779166,0.48331577829017214,0.5687319950311667,Rock hit with iconic riff; long-form structure.,mid,mid,truth_ml_agree_feat_diff,all_agree
1989_madonna__like_a_prayer__album,Madonna,Like a Prayer,1989,hi,hi,mid,mid,mid,109.95678191489361,340.31165532879817,-18.224834117793616,0.36934294536519935,0.5623229268072111,0.5677371781460797,Gospel-infused pop; emotional but uplifting; album version used in benchmark.,mid,hi,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
1996_spice_girls__wannabe__album,Spice Girls,Wannabe,1996,hi,hi,hi,hi,hi,109.95678191489361,171.64190476190475,-17.690863769410203,0.3671600061146364,0.6238939650439616,0.5668640024458546,Bouncy girl-group pop; short hooky.,mid,hi,truth_ml_agree_feat_diff,all_agree
1998_britney_spears__baby_one_more_time__album,Britney Spears,...Baby One More Time,1998,mid,mid,mid,hi,mid,92.28515625,210.27990929705214,-17.85331442723911,0.3802961819122644,0.42989818497240007,0.5721184727649058,Turn-of-era teen pop; strong hook mid-tempo.,hi,mid,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2003_outkast__hey_ya__album,Outkast,Hey Ya!,2003,hi,hi,hi,hi,hi,79.50721153846153,233.31410430839003,-17.40575339277365,0.360228977574112,0.3281874013381884,0.5640915910296448,Quirky funk-pop; very fast but feels infectious and fun.,lo,lo,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2004_usher_lil_jon_ludacris__yeah__album,Usher feat. Lil Jon & Ludacris,Yeah!,2004,hi,hi,hi,hi,mid,105.46875,249.66095238095238,-17.703279610823518,0.3720357183251069,0.5962133438494225,0.5688142873300428,Club R&B; heavy low-end and high danceability.,mid,hi,truth_ml_agree_feat_diff,all_agree
2006_shakira_wyclef_jean__hips_dont_lie__album,Shakira feat. Wyclef Jean,Hips Don't Lie,2006,hi,hi,hi,hi,hi,99.38401442307692,216.96725623582768,-17.190024850160178,0.36096464053245403,0.558094211227147,0.5643858562129815,Latin-pop crossover; high groove and danceability; 2006 album version in benchmark.,mid,hi,truth_ml_agree_feat_diff,all_agree
2008_lady_gaga__pokerface__album,Lady Gaga,Poker Face,2008,hi,hi,hi,mid,mid,120.18531976744185,236.28625850340137,-18.060759004168254,0.354835968833679,0.5281335759905681,0.5619343875334716,Electro-pop banger; club-oriented energy.,lo,hi,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2008_rihanna__disturbia__album,Rihanna,Disturbia,2008,hi,hi,hi,mid,lo,126.04801829268293,237.77233560090704,-18.139415375460718,0.36593976800709727,0.5194105415602142,0.5663759072028389,"Dark electro-pop club track; very high energy and danceability but eerie, tense low-valence feel.",mid,hi,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2013_daft_punk_pharrell_williams__get_lucky__single,Daft Punk feat. Pharrell Williams,Get Lucky,2013,hi,hi,hi,hi,hi,114.84375,245.94575963718822,-17.28213661544945,0.1468917578458786,0.28563696138315325,0.2070920480833729,Sleek disco-funk; smooth but absolutely a dancefloor record strong steady groove.,lo,lo,truth_ml_agree_feat_diff,truth_ml_agree_feat_diff
2013_the_neighbourhood__sweater_weather__album,The Neighbourhood,Sweater Weather,2013,mid,mid,mid,mid,mid,123.046875,238.51537414965986,-17.795169700640738,0.3479553596455563,0.3688245269062258,0.5591821438582225,Alt-pop mid-tempo groove; moody tone; subtly danceable.,lo,mid,truth_ml_agree_feat_diff,all_agree
2014_sam_smith__stay_with_me__album,Sam Smith,Stay With Me,2014,mid,mid,lo,hi,lo,84.72079918032787,171.64190476190475,-17.647530758828704,0.3399069583174197,0.2671226177743575,0.5559627833269678,Gospel-tinged ballad; slow emotional delivery; low danceability.,lo,lo,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
2015_adele__hello__album,Adele,Hello,2015,mid,mid,lo,lo,lo,156.60511363636363,294.24326530612245,-17.806540067020947,0.34892904283842224,0.21278195125141514,0.5595716171353688,Piano-led power ballad; slow build; heavy emotional weight; non-dance.,lo,lo,truth_ml_agree_feat_diff,all_agree
2016_justin_timberlake__cant_stop_the_feeling__album,Justin Timberlake,CAN'T STOP THE FEELING!,2016,hi,hi,hi,mid,hi,112.34714673913044,235.54321995464852,-18.16900437091861,0.3662699922341684,0.540479303342583,0.5665079968936674,"Uplifting disco-funk pop; designed as a feel-good family dance track with clearly high energy, high danceability and high valence.",mid,hi,truth_ml_agree_feat_diff,truth_feat_agree_ml_diff
