audio_file,local_year,local_artist_slug,local_title_slug,HCI_v1_score,HCI_v1_raw,HCI_axis_Danceability,HCI_axis_Energy,HCI_axis_LoudnessFit,HCI_axis_RuntimeFit,HCI_axis_TempoFit,HCI_axis_Valence,feat_tempo_bpm,feat_duration_sec,feat_loudness_LUFS,feat_danceability,feat_energy,feat_valence,spotify_id,spotify_tempo,spotify_duration_sec,spotify_loudness,spotify_danceability,spotify_energy,spotify_valence,tempo_drift_pct,duration_drift_pct,loudness_diff_db,danceability_diff,energy_diff,valence_diff,drift_pct_vs_EchoTarget_v2,drift_pct_vs_success_index_raw,drift_pass_fail_vs_EchoTarget_v2,meta_year,meta_year_end_rank,meta_title,meta_artist,meta_best_rank,meta_weeks_on_chart,meta_chart_points,meta_s_rank,meta_s_weeks,meta_s_peak,meta_success_index_raw,meta_echo_z,meta_EchoTarget_v2,meta_echo_decile,meta_id,meta_spotify_album,meta_spotify_artist,meta_spotify_id,meta_spotify_name,meta_spotify_popularity,meta_spotify_release_date
features_output/2025/11/22/1985/1985_a_ha__take_on_me__single/1985_a_ha__take_on_me__single.hci.json,1985,a ha,take on me,0.6634270946256674,0.32825361760214755,0.40490170726089236,0.3802475839026113,0.7995024753721534,0.03350253745085038,0.1498150006745772,0.5010548763239542,84.72079918032787,222.91156462585033,-17.80453820030658,0.40490170726089236,0.3802475839026113,0.5720990335610445,2WfaOiMkCvy7F5fcp2zZ8L,84.412,225.28,-7.638,0.573,0.902,0.876,0.36582379321407726,-1.0513296227581985,-10.166538200306581,-0.1680982927391076,-0.5217524160973888,-0.3039009664389555,-21.65196556727165,-24.487972969436232,FAIL,1985,1,Take On Me,a-ha,1,25,1605.0,1.0,0.5952380952380952,1.0,0.8785714285714286,1.314987366057579,0.8467692896562747,9,1,Hunting High and Low,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,Take on Me,87.0,1985-06-01
features_output/2025/11/22/1985/1985_animotion__obsession__album/1985_animotion__obsession__album.hci.json,1985,animotion,obsession,0.9820290577435941,0.4952200370135597,0.5070656339509174,0.375824027304497,0.9606192669222904,1.078820410944036e-17,0.9795814574168512,0.6088491034090926,114.84375,335.11038548752833,-19.03828277676902,0.5070656339509174,0.375824027304497,0.5703296109217988,3N7GqZMpZJW69Te1bfUTc3,114.748,337.267,-11.997,0.673,0.613,0.415,0.08344372015198115,-0.6394383418691016,-7.04128277676902,-0.16593436604908263,-0.237175972695503,0.1553296109217988,68.57418432411644,44.02623897003012,FAIL,1985,15,Obsession,Animotion,6,24,1431.0,0.641025641025641,0.5714285714285714,0.9494949494949495,0.6818403818403818,0.2563466157837646,0.5825500871802847,6,15,Obsession: The Best Of Animotion,Animotion,3N7GqZMpZJW69Te1bfUTc3,Obsession,57.0,1996-01-01
features_output/2025/11/22/1985/1985_aretha_franklin__freeway_of_love__album/1985_aretha_franklin__freeway_of_love__album.hci.json,1985,aretha franklin,freeway of love,0.7408310286864059,0.36881789282506877,0.47653637710945584,0.3576386923882311,0.6984381118868055,2.3307713990615004e-21,0.6044503416676599,0.27428194578506615,126.04801829268293,351.4572335600907,-17.57362610091251,0.47653637710945584,0.3576386923882311,0.32305547695529246,0lpIVCLNQRBKffcRRNrHyh,126.509,352.093,-6.328,0.688,0.899,0.833,-0.3643864921207776,-0.1805677590606267,-11.24562610091251,-0.2114636228905441,-0.5413613076117689,-0.5099445230447075,183.70319200966253,52.58505818259579,FAIL,1985,28,Freeway Of Love,Aretha Franklin,3,19,1361.0,0.3076923076923077,0.4523809523809524,0.9797979797979798,0.48552003552003553,-0.8000840908891728,0.26112890145457873,3,28,Who's Zoomin' Who? (Expanded Edition),Aretha Franklin,0lpIVCLNQRBKffcRRNrHyh,Freeway Of Love,45.0,1985
features_output/2025/11/22/1985/1985_billy_ocean__suddenly__album/1985_billy_ocean__suddenly__album.hci.json,1985,billy ocean,suddenly,0.78468289410989,0.39179888416177366,0.40231349329927,0.3859299170761101,0.5940282087306324,0.006286817893236484,0.4701867510987009,0.5860763256033246,129.19921875,233.31410430839003,-17.349046094651506,0.40231349329927,0.3859299170761101,0.574371966830444,65h7Qhxl2WfW31Bl6sjWAI,129.486,234.707,-9.512,0.496,0.338,0.202,-0.22147664612389759,-0.593461503751471,-7.837046094651505,-0.09368650670072998,0.04792991707611005,0.372371966830444,102.26029355164015,37.89809989536514,FAIL,1985,23,Suddenly,Billy Ocean,4,22,1389.0,0.4358974358974359,0.5238095238095238,0.9696969696969697,0.5690309690309691,-0.3506986035596361,0.387956963935459,5,23,Suddenly (Expanded Edition),Billy Ocean,65h7Qhxl2WfW31Bl6sjWAI,Suddenly,60.0,1984-09-12
features_output/2025/11/22/1985/1985_bryan_adams__heaven__album/1985_bryan_adams__heaven__album.hci.json,1985,bryan adams,heaven,0.5088829220782574,0.24726325935507806,0.2435080180809705,0.35390951339738125,0.8764901862672239,0.0008447611825582086,0.010727905304910116,0.3745893581646482,69.83741554054055,243.7166439909297,-18.00596396009945,0.2435080180809705,0.35390951339738125,0.5615638053589525,7Ewz6bJ97vUqk5HdkvguFQ,140.059,243.36,-7.315,0.382,0.589,0.335,-50.13714538834309,0.1465499633997712,-10.690963960099449,-0.1384919819190295,-0.23509048660261872,0.22656380535895243,32.61344176421147,-10.168097169502579,FAIL,1985,22,Heaven,Bryan Adams,1,19,1394.0,0.46153846153846156,0.4523809523809524,1.0,0.5664835164835165,-0.3644068469758826,0.38373404332801964,5,22,Reckless (30th Anniversary / Deluxe Edition),Bryan Adams,7Ewz6bJ97vUqk5HdkvguFQ,Heaven,83.0,1984-11-05
features_output/2025/11/22/1985/1985_commodores__nightshift__album/1985_commodores__nightshift__album.hci.json,1985,commodores,nightshift,0.9602832651527554,0.48382394550607694,0.5322030865287433,0.3715985101518011,0.832518864106313,4.471981994720786e-12,0.8968923318441594,0.6022497445072859,105.46875,306.1318820861678,-17.88679738815235,0.5322030865287433,0.3715985101518011,0.5686394040607204,23IK8TF2MSiLnuEjaYPfVV,105.06,306.56,-10.194,0.727,0.559,0.393,0.389063392347228,-0.13965224224692777,-7.692797388152348,-0.19479691347125672,-0.18740148984819893,0.17563940406072043,100.37045880228767,54.30371233476927,FAIL,1985,19,Nightshift,Commodores,3,22,1405.0,0.5384615384615384,0.5238095238095238,0.9797979797979798,0.6223332223332223,-0.06387078271077162,0.47925391342258666,5,19,Nightshift,Commodores,23IK8TF2MSiLnuEjaYPfVV,Nightshift,65.0,1985-01-01
features_output/2025/11/22/1985/1985_corey_hart__never_surrender__album/1985_corey_hart__never_surrender__album.hci.json,1985,corey hart,never surrender,0.8902551596847574,0.4471250441128405,0.44268660281707983,0.36542669889717233,0.8520815048750288,7.3041449020376e-10,0.8265786507073936,0.5480583115249824,103.359375,292.75718820861675,-17.93816992652342,0.44268660281707983,0.36542669889717233,0.5661706795588689,5U5p472hgeXUKvh0d8RL4K,104.131,295.0,-11.085,0.552,0.538,0.401,-0.7410137230987892,-0.7602751835197447,-6.853169926523417,-0.10931339718292021,-0.1725733011028277,0.16517067955886888,172.12077822861042,67.61706061986625,FAIL,1985,25,Never Surrender,Corey Hart,3,20,1382.0,0.3846153846153846,0.47619047619047616,0.9797979797979798,0.5311244311244311,-0.5546796548297059,0.32715442219441554,4,25,Boy In The Box,Corey Hart,5U5p472hgeXUKvh0d8RL4K,Never Surrender,50.0,1985-01-01
features_output/2025/11/22/1985/1985_debarge__rhythm_of_the_night__album/1985_debarge__rhythm_of_the_night__album.hci.json,1985,debarge,rhythm of the night,1.0,0.5095476161121386,0.551858513660791,0.37860479364240507,0.3842705370435584,0.013415664368606433,0.9795814574168512,0.633825267584178,114.84375,228.85587301587302,-20.462613633330637,0.551858513660791,0.37860479364240507,0.571441917456962,5yGTQzYbEdY6B9RFZJypgt,115.142,229.107,-12.328,0.707,0.759,0.955,-0.25902798283857836,-0.10961122275922762,-8.134613633330638,-0.155141486339209,-0.38039520635759494,-0.3835580825430379,69.39205715263864,45.680050451965506,FAIL,1985,14,Rhythm Of The Night,Debarge,3,22,1432.0,0.6666666666666667,0.5238095238095238,0.9797979797979798,0.6864357864357865,0.2810752117503273,0.5903464523716736,6,14,Rhythm Of The Night,DeBarge,5yGTQzYbEdY6B9RFZJypgt,Rhythm Of The Night,64.0,1985
features_output/2025/11/22/1985/1985_diana_ross__missing_you__album/1985_diana_ross__missing_you__album.hci.json,1985,diana ross,missing you,0.5610493014098648,0.2746015515784441,0.2083051239319051,0.3778584723120542,0.6484560943701467,0.0006171134203807237,9.466490324596675e-05,0.5607339349030787,172.265625,245.20272108843537,-17.465434989711106,0.2083051239319051,0.3778584723120542,0.5711433889248216,0jVfjWK9DUc5ShqwwPADyp,86.822,245.347,-11.41,0.644,0.355,0.187,98.41241275252816,-0.05880606307174759,-6.055434989711106,-0.4356948760680949,0.022858472312054234,0.38414338892482164,172.06628928274753,27.070748331987616,FAIL,1985,32,Missing You,Diana Ross,10,22,1338.0,0.20512820512820518,0.5238095238095238,0.9090909090909091,0.44152514152514155,-1.03682754526953,0.2062178680383253,2,32,Swept Away (Expanded Edition),Diana Ross,0jVfjWK9DUc5ShqwwPADyp,Missing You,37.0,1984-09-13
features_output/2025/11/22/1985/1985_dire_straits__money_for_nothing__single/1985_dire_straits__money_for_nothing__single.hci.json,1985,dire straits,money for nothing,0.6937117616531685,0.3441245882865846,0.3794127404640498,0.3740577455820918,0.9308260448108381,0.0006171134203807237,0.2300894670195502,0.580570463233435,135.99917763157896,245.20272108843537,-18.180629608902986,0.3794127404640498,0.3740577455820918,0.5696230982328367,4yqtwO7MQIIXqoiRBPHAgR,134.212,506.4,-9.339,0.667,0.655,0.657,1.3316079274423824,-51.57924149122523,-8.841629608902986,-0.2875872595359502,-0.2809422544179082,-0.08737690176716328,-9.752088769719421,-13.916676849402274,PASS,1985,5,Money For Nothing,Dire Straits,1,22,1526.0,0.8974358974358975,0.5238095238095238,1.0,0.8058608058608059,0.9237200523402763,0.7686734819635468,8,5,Brothers in Arms,Dire Straits,4yqtwO7MQIIXqoiRBPHAgR,Money for Nothing,68.0,1985-05-13
