audio_name,target_hci
"1. Sabrina Carpenter - Espresso",0.748
"10. Lady Gaga, Bruno Mars - Die With A Smile",0.833,
"11. Artemas - I Like The Way You Kiss Me",0.835,
"12. Ariana Grande - We Can't Be Friends (Wait For Your Love)",
"13. Sabrina Carpenter - Please Please Please",0.767,
"14. Chappell Roan - Good Luck, Babe!",0.838,
"15. Tate McRae - Greedy",0.826
"16. Tommy Richman - MILLION DOLLAR BABY",0.775,
"17. Jimin - Who",
"18. Shaboozey - A Bar Song (Tipsy)",0.792
"19. Feid, ATL Jacob - LUNA",
"2. Benson Boone - Beautiful Things",0.858,
"20. Kendrick Lamar - Not Like Us",0.851
"21. Mitski - My Love Mine All Mine",0.845
"22. Artic Monkeys - I Wanna Be Yours",
"23. Noah Kahan - Stick Season",0.775
"24. Lord Huron - The Night We Met",0.857
"25. Post Malone, Morgan Wallen - I Had Some Help (feat. Morgan Wallen)",
"26. The Neighbourhood - Sweater Weather",0.835,
"27. Travis Scott, Playboi Carti - FE!N (feat. Playboi Carti)",
"28. Jung Kook, Latto - Seven (feat. Latto)",
"29. Taylor Swift, Post Malone - Fornight (feat. Post Malone)",0.742,
"3. Billie Eilish - BIRDS OF A FEATHER",
"30. KAROL G - Si Antes Te Hubiera Conocido",
"31. Harry Styles - As It Was",0.853
"32. Xavi - La Diabla",
"33. The Weeknd, Daft Punk - Starboy",0.820,
"34. Jung Kook - Standing Next To You",
"35. Dasha - Austin (Boots Stop Workin')",
"36. Tyler, The Creator, Kali Uchis - See You Again (feat. Kali Uchis)",
"37. SZA - Kill Bill",0.710
"38. Coldplay - Yellow",0.847
"39. Tom Odell - Another Love",0.855
"4. FloyyMenor, Cris Mj - Gata Only",
"40. Miley Cyrus - Flowers",0.870
"41. ¥$, Kanye West, Ty Dolla Sign - CARNIVAL",
"42. Natasha Bedingfield - Unwritten",0.863
"43. Zach Bryan, Kacey Musgraves - I Remember Everything (feat. Kacey Musgraves)",0.858,
"44. KAROL G, Peso Pluma - QLONA",
"45. SZA - Saturn",
"46. Billie Eilish - LUNCH",
"47. Vance Joy - Riptide",0.827
"48. The Weeknd - Blinding Lights",0.863
"49. Bad Bunny, Feid - PERRO NEGRO",
"5. Teddy Swims - Lose Control",0.712
"50. Tyla - Water",0.790
"6. Djo - End of Beginning",0.691
"7. Hoizer - Too Sweet",0.810
"8. The Weeknd - One of The Girls (with JENNIE, Lily-Rose Depp)",0.803
"9. Taylor Swift - Cruel Summer",
"26b. Glass Animals - Heat Waves",0.718
"37b. The Kid LAROI - Without You",0.701
"39b. Olivia Rodrigo - Vampire",0.684
"31b. Doja Cat - Paint The Town Red",0.738
"32b. Dua Lipa - Dance The Night",0.732
