spotify_id,spotify_uri,spotify_href,tempo,key,mode,time_signature,duration_ms,loudness,danceability,energy,valence,acousticness,instrumentalness,liveness,speechiness,year,artist,title,year_end_rank
2WfaOiMkCvy7F5fcp2zZ8L,,,,,,,,,,,,,,,,1985,a-ha,Take On Me,1
2yCAGizViD7HZXwNYxJToQ,,,,,,,,,,,,,,,,1985,Kool & The Gang,Cherish,2
4RvWPyQ5RL0ao9LPZeSouE,,,,,,,,,,,,,,,,1985,Tears For Fears,Everybody Wants To Rule The World,3
0yNvCWhV6EyDpYAAczCm1E,,,,,,,,,,,,,,,,1985,Paul Young,Everytime You Go Away,4
4yqtwO7MQIIXqoiRBPHAgR,,,,,,,,,,,,,,,,1985,Dire Straits,Money For Nothing,5
6G7PVlifniapyhDCmWS2VM,,,,,,,,,,,,,,,,1985,Madonna,Crazy For You,6
3fH4KjXFYMmljxrcGrbPj9,,,,,,,,,,,,,,,,1985,Simple Minds,Don't You (Forget About Me),7
496KhoMCMizT1B6Gm09PPq,,,,,,,,,,,,,,,,1985,Wham! Featuring George Michael,Careless Whisper,8
2zbXf2qz52eXmw4dpHWWq6,,,,,,,,,,,,,,,,1985,Howard Jones,Things Can Only Get Better,9
1lx8ddGT5wCD6W2xmLeRKG,,,,,,,,,,,,,,,,1985,Whitney Houston,Saving All My Love For You,10
3tMW1Zbt9Z6cnEBO0HSZ5t,,,,,,,,,,,,,,,,1985,Huey Lewis & The News,The Power Of Love,11
6JGEFDAbkolVtylkQfnnom,,,,,,,,,,,,,,,,1985,Teena Marie,Lover Girl,12
1A2PWRltFrX8iB8IP3CUgo,,,,,,,,,,,,,,,,1985,John Parr,St. Elmo's Fire (Man In Motion),13
5yGTQzYbEdY6B9RFZJypgt,,,,,,,,,,,,,,,,1985,Debarge,Rhythm Of The Night,14
3N7GqZMpZJW69Te1bfUTc3,,,,,,,,,,,,,,,,1985,Animotion,Obsession,15
3kRLA6tLTlFR5ll80NULRE,,,,,,,,,,,,,,,,1985,Wham!,Everything She Wants,16
0PXw9NKvolWTo7U9JkNzmc,,,,,,,,,,,,,,,,1985,Glenn Frey,The Heat Is On,17
5WwqdeavrQrbeAMDxGawse,,,,,,,,,,,,,,,,1985,REO Speedwagon,Can't Fight This Feeling,18
23IK8TF2MSiLnuEjaYPfVV,,,,,,,,,,,,,,,,1985,Commodores,Nightshift,19
5PM96PMKMfD1lLX2lryUsG,,,,,,,,,,,,,,,,1985,Ready For The World,Oh Sheila,20
1M3xrSPzPcKkCnXGHFPKaw,,,,,,,,,,,,,,,,1985,Survivor,The Search Is Over,21
7Ewz6bJ97vUqk5HdkvguFQ,,,,,,,,,,,,,,,,1985,Bryan Adams,Heaven,22
65h7Qhxl2WfW31Bl6sjWAI,,,,,,,,,,,,,,,,1985,Billy Ocean,Suddenly,23
0Dm43YLUlGdePpSbI1ct8h,,,,,,,,,,,,,,,,1985,Stevie Wonder,Part-Time Lover,24
5U5p472hgeXUKvh0d8RL4K,,,,,,,,,,,,,,,,1985,Corey Hart,Never Surrender,25
0t6DdFmFQhQYWhmfa5FJer,,,,,,,,,,,,,,,,1985,Whitney Houston,You Give Good Love,26
2gQaQUhDCNGfBVXTvxAmXQ,,,,,,,,,,,,,,,,1985,Tears For Fears,Shout,27
0lpIVCLNQRBKffcRRNrHyh,,,,,,,,,,,,,,,,1985,Aretha Franklin,Freeway Of Love,28
0ZYf6N5eBeXStMri0mf3DZ,,,,,,,,,,,,,,,,1985,'Til Tuesday,Voices Carry,29
6OnfBiiSc9RGKiBKKtZXgQ,,,,,,,,,,,,,,,,1985,Starship,We Built This City,30
0F8Uf6JE5bCOTVAsoQ98iJ,,,,,,,,,,,,,,,,1985,Murray Head,One Night In Bangkok,31
