year,year_end_rank,artist,title,spotify_id,match_source,ext_artist_raw,ext_title_raw,tempo,danceability,energy,loudness,valence,duration_ms
1985,1,a-ha,Take On Me,2WfaOiMkCvy7F5fcp2zZ8L,id,['a-ha'],Take on Me,84.412,0.573,0.902,-7.638,0.876,225280
1985,2,Kool & The Gang,Cherish,2yCAGizViD7HZXwNYxJToQ,fuzzy,['Kool & The Gang'],Cherish,95.116,0.611,0.516,-11.316,0.384,340133
1985,3,Tears For Fears,Everybody Wants To Rule The World,4RvWPyQ5RL0ao9LPZeSouE,id,['Tears For Fears'],Everybody Wants To Rule The World,112.067,0.645,0.795,-12.095,0.535,251489
1985,4,Paul Young,Everytime You Go Away,0yNvCWhV6EyDpYAAczCm1E,id,['Paul Young'],Every Time You Go Away - Single Version,164.199,0.621,0.484,-11.966,0.506,257960
1985,5,Dire Straits,Money For Nothing,4yqtwO7MQIIXqoiRBPHAgR,id,['Dire Straits'],Money for Nothing,134.212,0.667,0.655,-9.339,0.657,506400
1985,6,Madonna,Crazy For You,6G7PVlifniapyhDCmWS2VM,id,['Madonna'],Crazy for You - Edit,95.01,0.672,0.549,-11.93,0.588,225627
1985,7,Simple Minds,Don't You (Forget About Me),3fH4KjXFYMmljxrcGrbPj9,id,['Simple Minds'],Don't You (Forget About Me),111.346,0.66,0.816,-6.61,0.678,263040
1985,9,Howard Jones,Things Can Only Get Better,2zbXf2qz52eXmw4dpHWWq6,fuzzy,['Howard Jones'],Things Can Only Get Better,108.254,0.752,0.743,-6.083,0.832,235827
1985,10,Whitney Houston,Saving All My Love For You,1lx8ddGT5wCD6W2xmLeRKG,id,['Whitney Houston'],Saving All My Love for You,99.304,0.636,0.264,-14.567,0.264,238467
1985,11,Huey Lewis & The News,The Power Of Love,3tMW1Zbt9Z6cnEBO0HSZ5t,fuzzy,['Huey Lewis & The News'],"The Power Of Love - From ""Back To The Future""",118.39,0.68,0.79,-5.471,0.818,234160
1985,12,Teena Marie,Lover Girl,6JGEFDAbkolVtylkQfnnom,id,['Teena Marie'],Lovergirl,123.301,0.76,0.853,-4.594,0.842,290893
1985,13,John Parr,St. Elmo's Fire (Man In Motion),1A2PWRltFrX8iB8IP3CUgo,id,['John Parr'],St. Elmos Fire (Man in Motion),111.203,0.612,0.6,-10.945,0.471,251800
1985,14,Debarge,Rhythm Of The Night,5yGTQzYbEdY6B9RFZJypgt,id,['DeBarge'],Rhythm Of The Night,115.142,0.707,0.759,-12.328,0.955,229107
1985,15,Animotion,Obsession,3N7GqZMpZJW69Te1bfUTc3,id,['Animotion'],Obsession,114.748,0.673,0.613,-11.997,0.415,337267
1985,16,Wham!,Everything She Wants,3kRLA6tLTlFR5ll80NULRE,id,['Wham!'],Everything She Wants - Remix,114.958,0.875,0.622,-10.22,0.918,389773
1985,17,Glenn Frey,The Heat Is On,0PXw9NKvolWTo7U9JkNzmc,fuzzy,['Glenn Frey'],"The Heat Is On - From ""Beverly Hills Cop"" Soundtrack",149.583,0.649,0.857,-7.015,0.962,225507
1985,18,REO Speedwagon,Can't Fight This Feeling,5WwqdeavrQrbeAMDxGawse,id,['REO Speedwagon'],Can't Fight This Feeling,156.344,0.408,0.48,-11.017,0.19,294773
1985,19,Commodores,Nightshift,23IK8TF2MSiLnuEjaYPfVV,id,['Commodores'],Nightshift,105.06,0.727,0.559,-10.194,0.393,306560
1985,20,Ready For The World,Oh Sheila,5PM96PMKMfD1lLX2lryUsG,id,['Ready For The World'],Oh Sheila,128.82,0.798,0.577,-10.347,0.835,240093
1985,21,Survivor,The Search Is Over,1M3xrSPzPcKkCnXGHFPKaw,id,['Survivor'],The Search Is Over,124.209,0.527,0.342,-12.272,0.148,252613
1985,22,Bryan Adams,Heaven,7Ewz6bJ97vUqk5HdkvguFQ,id,['Bryan Adams'],Heaven,140.059,0.382,0.589,-7.315,0.335,243360
1985,23,Billy Ocean,Suddenly,65h7Qhxl2WfW31Bl6sjWAI,id,['Billy Ocean'],Suddenly,129.486,0.496,0.338,-9.512,0.202,234707
1985,24,Stevie Wonder,Part-Time Lover,0Dm43YLUlGdePpSbI1ct8h,id,['Stevie Wonder'],Part-Time Lover,174.513,0.662,0.624,-13.606,0.961,252560
1985,25,Corey Hart,Never Surrender,5U5p472hgeXUKvh0d8RL4K,id,['Corey Hart'],Never Surrender,104.131,0.552,0.538,-11.085,0.401,295000
1985,26,Whitney Houston,You Give Good Love,0t6DdFmFQhQYWhmfa5FJer,id,['Whitney Houston'],You Give Good Love,74.802,0.559,0.365,-13.654,0.534,277240
1985,27,Tears For Fears,Shout,2gQaQUhDCNGfBVXTvxAmXQ,id,['Tears For Fears'],Shout,97.909,0.511,0.942,-10.407,0.498,393667
1985,28,Aretha Franklin,Freeway Of Love,0lpIVCLNQRBKffcRRNrHyh,id,['Aretha Franklin'],Freeway Of Love,126.509,0.688,0.899,-6.328,0.833,352093
1985,29,'Til Tuesday,Voices Carry,0ZYf6N5eBeXStMri0mf3DZ,id,"[""'Til Tuesday""]",Voices Carry,104.995,0.583,0.574,-9.044,0.578,263573
1985,30,Starship,We Built This City,6OnfBiiSc9RGKiBKKtZXgQ,id,['Starship'],We Built This City,144.091,0.661,0.908,-4.897,0.656,296080
1985,31,Murray Head,One Night In Bangkok,0F8Uf6JE5bCOTVAsoQ98iJ,fuzzy,['Murray Head'],One Night In Bangkok - From “Chess” / Remastered 2016,108.842,0.954,0.451,-9.124,0.839,193440
1985,32,Diana Ross,Missing You,0jVfjWK9DUc5ShqwwPADyp,id,['Diana Ross'],Missing You,86.822,0.644,0.355,-11.41,0.187,245347
